Round,Player,Hand,Score,Dealer Card,Dealer Score,Result,Reason
41,4,J 5 8,23,Q,20,2,Bust
41,5,J 7,17,Q,20,2,Lost to Dealer
42,1,3 2 Q J,25,2,17,2,Bust
42,2,5 J A 10,26,2,17,2,Bust
42,3,9 2 4 J,25,2,17,2,Bust
42,4,9 10,19,2,17,1,Higher Score than Dealer
42,5,9 A,20,2,17,1,Higher Score than Dealer
43,1,6 7 8,21,J,24,1,Dealer Bust
43,2,K K,20,J,24,1,Dealer Bust
43,3,2 Q Q,22,J,24,2,Bust
43,4,6 Q 7,23,J,24,2,Bust
43,5,K 7,17,J,24,1,Dealer Bust
44,1,A Q,21,Q,17,1,Higher Score than Dealer
44,2,A J,21,Q,17,1,Higher Score than Dealer
44,3,8 A,19,Q,17,1,Higher Score than Dealer
44,4,6 J 3,19,Q,17,1,Higher Score than Dealer
44,5,10 5 10,25,Q,17,2,Bust
45,1,9 K,19,7,22,1,Dealer Bust
45,2,5 6 3 Q,24,7,22,2,Bust
45,3,5 4 4 Q,23,7,22,2,Bust
45,4,A 10,21,7,22,1,Dealer Bust
45,5,9 2 J,21,7,22,1,Dealer Bust
46,1,7 6 Q,23,Q,17,2,Bust
46,2,10 5 6,21,Q,17,1,Higher Score than Dealer
46,3,3 10 4,17,Q,17,3,Tie with Dealer
46,4,K 7,17,Q,17,3,Tie with Dealer
46,5,4 6 7,17,Q,17,3,Tie with Dealer
47,1,A 4 4,19,10,20,2,Lost to Dealer
47,2,A 2 2 8 6,19,10,20,2,Lost to Dealer
47,3,3 K 2 A Q,26,10,20,2,Bust
47,4,5 6 3 3,17,10,20,2,Lost to Dealer
47,5,K J,20,10,20,3,Tie with Dealer
48,1,5 5 9,19,6,21,2,Lost to Dealer
48,2,3 9 Q,22,6,21,2,Bust
48,3,7 7 8,22,6,21,2,Bust
48,4,9 10,19,6,21,2,Lost to Dealer
48,5,9 7 7,23,6,21,2,Bust
49,1,6 8 8,22,J,26,2,Bust
49,2,3 4 9 4,20,J,26,1,Dealer Bust
49,3,J Q,20,J,26,1,Dealer Bust
49,4,2 J J,22,J,26,2,Bust
49,5,10 6 6,22,J,26,2,Bust
50,1,10 2 10,22,3,19,2,Bust
50,2,9 7 Q,26,3,19,2,Bust
50,3,8 8 A,17,3,19,2,Lost to Dealer
50,4,2 2 A 10 5,20,3,19,1,Higher Score than Dealer
50,5,10 6 3,19,3,19,3,Tie with Dealer
51,1,A 7,18,A,18,3,Tie with Dealer
51,2,5 4 Q,19,A,18,1,Higher Score than Dealer
51,3,Q K,20,A,18,1,Higher Score than Dealer
51,4,6 9 9,24,A,18,2,Bust
51,5,3 10 10,23,A,18,2,Bust
52,1,9 Q,19,Q,17,1,Higher Score than Dealer
52,2,9 Q,19,Q,17,1,Higher Score than Dealer
52,3,7 6 2 A 6,22,Q,17,2,Bust
52,4,9 4 Q,23,Q,17,2,Bust
52,5,K K,20,Q,17,1,Higher Score than Dealer
53,1,5 A Q 10,26,K,18,2,Bust
53,2,5 Q 8,23,K,18,2,Bust
53,3,A 2 3 Q 10,26,K,18,2,Bust
53,4,6 3 5 J,24,K,18,2,Bust
53,5,4 3 A,18,K,18,3,Tie with Dealer
54,1,Q 3 2 J,25,9,19,2,Bust
54,2,8 6 Q,24,9,19,2,Bust
54,3,4 9 Q,23,9,19,2,Bust
54,4,7 A,18,9,19,2,Lost to Dealer
54,5,9 8,17,9,19,2,Lost to Dealer
55,1,J Q,20,9,19,1,Higher Score than Dealer
55,2,8 4 10,22,9,19,2,Bust
55,3,6 7 10,23,9,19,2,Bust
55,4,8 3 6,17,9,19,2,Lost to Dealer
55,5,10 Q,20,9,19,1,Higher Score than Dealer
56,1,K Q,20,A,17,1,Higher Score than Dealer
56,2,9 5 7,21,A,17,1,Higher Score than Dealer
56,3,8 A,19,A,17,1,Higher Score than Dealer
56,4,4 7 3 8,22,A,17,2,Bust
56,5,8 2 6 8,24,A,17,2,Bust
57,1,J J,20,J,17,1,Higher Score than Dealer
57,2,Q 2 10,22,J,17,2,Bust
57,3,6 9 K,25,J,17,2,Bust
57,4,Q 3 6,19,J,17,1,Higher Score than Dealer
57,5,3 5 10,18,J,17,1,Higher Score than Dealer
58,1,10 9,19,8,18,1,Higher Score than Dealer
58,2,9 8,17,8,18,2,Lost to Dealer
58,3,2 J 10,22,8,18,2,Bust
58,4,9 Q,19,8,18,1,Higher Score than Dealer
58,5,Q 8,18,8,18,3,Tie with Dealer
59,1,J 9,19,J,17,1,Higher Score than Dealer
59,2,4 J Q,24,J,17,2,Bust
59,3,3 4 J,17,J,17,3,Tie with Dealer
59,4,8 K,18,J,17,1,Higher Score than Dealer
59,5,Q 4 8,22,J,17,2,Bust
60,1,A 2 4 K 5,22,A,18,2,Bust
60,2,2 Q 6,18,A,18,3,Tie with Dealer
60,3,2 3 3 8 K,26,A,18,2,Bust
60,4,5 3 10,18,A,18,3,Tie with Dealer
60,5,K 8,18,A,18,3,Tie with Dealer
61,1,3 J 10,23,4,21,2,Bust
61,2,6 10 10,26,4,21,2,Bust
61,3,8 8 K,26,4,21,2,Bust
61,4,8 6 8,22,4,21,2,Bust
61,5,J 6 2,18,4,21,2,Lost to Dealer
62,1,4 6 K,20,7,17,1,Higher Score than Dealer
62,2,K 8,18,7,17,1,Higher Score than Dealer
62,3,J A,21,7,17,1,Higher Score than Dealer
62,4,10 A,21,7,17,1,Higher Score than Dealer
62,5,4 J 10,24,7,17,2,Bust
63,1,8 10,18,6,24,1,Dealer Bust
63,2,6 2 9,17,6,24,1,Dealer Bust
63,3,2 K 10,22,6,24,2,Bust
63,4,3 Q 7,20,6,24,1,Dealer Bust
63,5,2 9 Q,21,6,24,1,Dealer Bust
64,1,7 4 A 8,20,8,18,1,Higher Score than Dealer
64,2,2 A 5,18,8,18,3,Tie with Dealer
64,3,6 8 5,19,8,18,1,Higher Score than Dealer
64,4,Q 6 K,26,8,18,2,Bust
64,5,10 A,21,8,18,1,Higher Score than Dealer
65,1,8 10,18,J,20,2,Lost to Dealer
65,2,10 9,19,J,20,2,Lost to Dealer
65,3,9 K,19,J,20,2,Lost to Dealer
65,4,6 3 8,17,J,20,2,Lost to Dealer
65,5,K K,20,J,20,3,Tie with Dealer
66,1,Q 6 8,24,6,21,2,Bust
66,2,10 8,18,6,21,2,Lost to Dealer
66,3,3 4 9 K,26,6,21,2,Bust
66,4,A 4 5,20,6,21,2,Lost to Dealer
66,5,5 4 Q,19,6,21,2,Lost to Dealer
67,1,3 7 J,20,9,19,1,Higher Score than Dealer
67,2,A 6 J 10,27,9,19,2,Bust
67,3,10 5 8,23,9,19,2,Bust
67,4,8 9,17,9,19,2,Lost to Dealer
67,5,8 K,18,9,19,2,Lost to Dealer
68,1,5 8 8,21,Q,21,3,Tie with Dealer
68,2,6 J 4,20,Q,21,2,Lost to Dealer
68,3,9 8,17,Q,21,2,Lost to Dealer
68,4,6 9 J,25,Q,21,2,Bust
68,5,A 5 Q 10,26,Q,21,2,Bust
69,1,J 5 6,21,2,19,1,Higher Score than Dealer
69,2,4 K 6,20,2,19,1,Higher Score than Dealer
69,3,A 10,21,2,19,1,Higher Score than Dealer
69,4,K 3 Q,23,2,19,2,Bust
69,5,2 8 9,19,2,19,3,Tie with Dealer
70,1,7 2 J,19,K,20,2,Lost to Dealer
70,2,5 8 8,21,K,20,1,Higher Score than Dealer
70,3,8 2 Q,20,K,20,3,Tie with Dealer
70,4,6 5 K,21,K,20,1,Higher Score than Dealer
70,5,6 2 7 K,25,K,20,2,Bust
71,1,4 6 4 J,24,5,23,2,Bust
71,2,2 7 J,19,5,23,1,Dealer Bust
71,3,3 4 6 8,21,5,23,1,Dealer Bust
71,4,6 Q 8,24,5,23,2,Bust
71,5,Q 4 10,24,5,23,2,Bust
72,1,6 7 3 J,26,A,22,2,Bust
72,2,4 A Q J,25,A,22,2,Bust
72,3,5 A Q 2,18,A,22,1,Dealer Bust
72,4,10 4 A 6,21,A,22,1,Dealer Bust
72,5,7 Q,17,A,22,1,Dealer Bust
73,1,10 7,17,8,18,2,Lost to Dealer
73,2,7 8 K,25,8,18,2,Bust
73,3,5 3 7 8,23,8,18,2,Bust
73,4,7 10,17,8,18,2,Lost to Dealer
73,5,A K,21,8,18,1,Higher Score than Dealer
74,1,9 Q,19,J,17,1,Higher Score than Dealer
74,2,J 10,20,J,17,1,Higher Score than Dealer
74,3,J 10,20,J,17,1,Higher Score than Dealer
74,4,K Q,20,J,17,1,Higher Score than Dealer
74,5,7 8 5,20,J,17,1,Higher Score than Dealer
75,1,5 3 7 A A,17,2,20,2,Lost to Dealer
75,2,A A 2 2 5,21,2,20,1,Higher Score than Dealer
75,3,Q A,21,2,20,1,Higher Score than Dealer
75,4,6 9 K,25,2,20,2,Bust
75,5,J 5 6,21,2,20,1,Higher Score than Dealer
76,1,Q 3 J,23,4,25,2,Bust
76,2,8 5 9,22,4,25,2,Bust
76,3,K 9,19,4,25,1,Dealer Bust
76,4,K J,20,4,25,1,Dealer Bust
76,5,6 2 3 Q,21,4,25,1,Dealer Bust
77,1,5 5 6 2,18,6,20,2,Lost to Dealer
77,2,9 8,17,6,20,2,Lost to Dealer
77,3,Q 5 5,20,6,20,3,Tie with Dealer
77,4,Q A,21,6,20,1,Higher Score than Dealer
77,5,3 7 6 2,18,6,20,2,Lost to Dealer
78,1,10 K,20,10,19,1,Higher Score than Dealer
78,2,4 5 6 Q,25,10,19,2,Bust
78,3,5 J 8,23,10,19,2,Bust
78,4,3 9 3 8,23,10,19,2,Bust
78,5,3 10 5,18,10,19,2,Lost to Dealer
79,1,7 10,17,3,21,2,Lost to Dealer
79,2,K 9,19,3,21,2,Lost to Dealer
79,3,9 J,19,3,21,2,Lost to Dealer
79,4,J 6 6,22,3,21,2,Bust
79,5,10 4 J,24,3,21,2,Bust
80,1,6 7 10,23,J,20,2,Bust
80,2,7 Q,17,J,20,2,Lost to Dealer
80,3,Q 6 4,20,J,20,3,Tie with Dealer
80,4,Q 9,19,J,20,2,Lost to Dealer
80,5,9 2 J,21,J,20,1,Higher Score than Dealer
81,1,8 8 9,25,Q,22,2,Bust
81,2,2 A 8,21,Q,22,1,Dealer Bust
81,3,A 4 4,19,Q,22,1,Dealer Bust
81,4,J 5 9,24,Q,22,2,Bust
81,5,4 7 4 6,21,Q,22,1,Dealer Bust
82,1,A 9,20,J,21,2,Lost to Dealer
82,2,K Q,20,J,21,2,Lost to Dealer
82,3,A 3 9 10,23,J,21,2,Bust
82,4,K 10,20,J,21,2,Lost to Dealer
82,5,9 2 10,21,J,21,3,Tie with Dealer
83,1,Q 6 A,17,5,21,2,Lost to Dealer
83,2,Q 7,17,5,21,2,Lost to Dealer
83,3,9 6 5,20,5,21,2,Lost to Dealer
83,4,J 6 A,17,5,21,2,Lost to Dealer
83,5,4 Q 8,22,5,21,2,Bust
84,1,7 2 J,19,4,24,1,Dealer Bust
84,2,2 7 5 J,24,4,24,2,Bust
84,3,4 4 K,18,4,24,1,Dealer Bust
84,4,A 10,21,4,24,1,Dealer Bust
84,5,2 Q 8,20,4,24,1,Dealer Bust
85,1,7 10,17,4,19,2,Lost to Dealer
85,2,2 6 6 9,23,4,19,2,Bust
85,3,3 7 4 9,23,4,19,2,Bust
85,4,8 4 4 6,22,4,19,2,Bust
85,5,Q K,20,4,19,1,Higher Score than Dealer
86,1,K 5 7,22,6,18,2,Bust
86,2,Q 2 K,22,6,18,2,Bust
86,3,Q Q,20,6,18,1,Higher Score than Dealer
86,4,4 4 3 5 J,26,6,18,2,Bust
86,5,9 K,19,6,18,1,Higher Score than Dealer
87,1,6 8 10,24,K,17,2,Bust
87,2,2 3 6 K,21,K,17,1,Higher Score than Dealer
87,3,A Q,21,K,17,1,Higher Score than Dealer
87,4,9 4 6,19,K,17,1,Higher Score than Dealer
87,5,6 7 8,21,K,17,1,Higher Score than Dealer
88,1,6 3 5 10,24,A,18,2,Bust
88,2,2 4 8 2 A 4,21,A,18,1,Higher Score than Dealer
88,3,Q 2 K,22,A,18,2,Bust
88,4,10 J,20,A,18,1,Higher Score than Dealer
88,5,7 A,18,A,18,3,Tie with Dealer
89,1,2 2 J Q,24,A,17,2,Bust
89,2,K 7,17,A,17,3,Tie with Dealer
89,3,9 6 5,20,A,17,1,Higher Score than Dealer
89,4,8 K,18,A,17,1,Higher Score than Dealer
89,5,5 6 4 2,17,A,17,3,Tie with Dealer
90,1,8 6 5,19,7,18,1,Higher Score than Dealer
90,2,J 4 2 4,20,7,18,1,Higher Score than Dealer
90,3,8 Q,18,7,18,3,Tie with Dealer
90,4,2 J A 7,20,7,18,1,Higher Score than Dealer
90,5,7 5 Q,22,7,18,2,Bust
91,1,K J,20,3,18,1,Higher Score than Dealer
91,2,4 2 A,17,3,18,2,Lost to Dealer
91,3,4 K 10,24,3,18,2,Bust
91,4,9 10,19,3,18,1,Higher Score than Dealer
91,5,8 9,17,3,18,2,Lost to Dealer
92,1,A Q,21,5,22,1,Dealer Bust
92,2,Q 5 2,17,5,22,1,Dealer Bust
92,3,2 A 9 Q,22,5,22,2,Bust
92,4,J 7,17,5,22,1,Dealer Bust
92,5,8 4 A 2 J,25,5,22,2,Bust
93,1,6 5 8,19,2,17,1,Higher Score than Dealer
93,2,8 3 K,21,2,17,1,Higher Score than Dealer
93,3,2 3 10 10,25,2,17,2,Bust
93,4,2 5 6 6,19,2,17,1,Higher Score than Dealer
93,5,10 10,20,2,17,1,Higher Score than Dealer
94,1,A Q,21,2,18,1,Higher Score than Dealer
94,2,6 6 7,19,2,18,1,Higher Score than Dealer
94,3,A 2 10 3 K,26,2,18,2,Bust
94,4,2 Q 9,21,2,18,1,Higher Score than Dealer
94,5,10 8,18,2,18,3,Tie with Dealer
95,1,K 5 J,25,4,18,2,Bust
95,2,4 8 9,21,4,18,1,Higher Score than Dealer
95,3,A 8,19,4,18,1,Higher Score than Dealer
95,4,2 7 2 2 J,23,4,18,2,Bust
95,5,Q 9,19,4,18,1,Higher Score than Dealer
96,1,8 6 5,19,6,18,1,Higher Score than Dealer
96,2,K 4 J,24,6,18,2,Bust
96,3,7 K,17,6,18,2,Lost to Dealer
96,4,10 7,17,6,18,2,Lost to Dealer
96,5,5 10 8,23,6,18,2,Bust
97,1,4 J 5,19,5,25,1,Dealer Bust
97,2,7 K,17,5,25,1,Dealer Bust
97,3,7 6 A 2 3,19,5,25,1,Dealer Bust
97,4,4 6 2 4 7,23,5,25,2,Bust
97,5,6 J A,17,5,25,1,Dealer Bust
98,1,J 5 8,23,3,17,2,Bust
98,2,A 7,18,3,17,1,Higher Score than Dealer
98,3,Q 6 10,26,3,17,2,Bust
98,4,9 Q,19,3,17,1,Higher Score than Dealer
98,5,Q 8,18,3,17,1,Higher Score than Dealer
99,1,Q J,20,9,17,1,Higher Score than Dealer
99,2,Q 10,20,9,17,1,Higher Score than Dealer
99,3,K J,20,9,17,1,Higher Score than Dealer
99,4,K 7,17,9,17,3,Tie with Dealer
99,5,J J,20,9,17,1,Higher Score than Dealer
100,1,7 7 10,24,4,20,2,Bust
100,2,5 7 4 10,26,4,20,2,Bust
100,3,J 9,19,4,20,2,Lost to Dealer
100,4,5 J 3,18,4,20,2,Lost to Dealer
100,5,2 10 7,19,4,20,2,Lost to Dealer
101,1,3 4 8 10,25,10,24,2,Bust
101,2,5 2 6 7,20,10,24,1,Dealer Bust
101,3,K 10,20,10,24,1,Dealer Bust
101,4,8 3 K,21,10,24,1,Dealer Bust
101,5,3 5 Q,18,10,24,1,Dealer Bust
102,1,7 10,17,A,21,2,Lost to Dealer
102,2,5 4 10,19,A,21,2,Lost to Dealer
102,3,3 8 J,21,A,21,3,Tie with Dealer
102,4,A 8,19,A,21,2,Lost to Dealer
102,5,2 4 J 6,22,A,21,2,Bust
103,1,6 8 K,24,K,20,2,Bust
103,2,5 6 6,17,K,20,2,Lost to Dealer
103,3,4 A 6,21,K,20,1,Higher Score than Dealer
103,4,9 Q,19,K,20,2,Lost to Dealer
103,5,2 2 7 7,18,K,20,2,Lost to Dealer
104,1,8 4 A J,23,2,18,2,Bust
104,2,9 4 7,20,2,18,1,Higher Score than Dealer
104,3,6 7 3 9,25,2,18,2,Bust
104,4,K 5 7,22,2,18,2,Bust
104,5,3 6 5 A 6,21,2,18,1,Higher Score than Dealer
105,1,K 7,17,Q,18,2,Lost to Dealer
105,2,J Q,20,Q,18,1,Higher Score than Dealer
105,3,A A A 2 5,20,Q,18,1,Higher Score than Dealer
105,4,7 3 4 4,18,Q,18,3,Tie with Dealer
105,5,8 4 9,21,Q,18,1,Higher Score than Dealer
106,1,5 8 5,18,J,20,2,Lost to Dealer
106,2,4 5 2 8,19,J,20,2,Lost to Dealer
106,3,10 J,20,J,20,3,Tie with Dealer
106,4,K 6 8,24,J,20,2,Bust
106,5,7 10,17,J,20,2,Lost to Dealer
107,1,6 Q 7,23,3,21,2,Bust
107,2,5 10 4,19,3,21,2,Lost to Dealer
107,3,Q Q,20,3,21,2,Lost to Dealer
107,4,Q 6 4,20,3,21,2,Lost to Dealer
107,5,5 8 8,21,3,21,3,Tie with Dealer
108,1,9 10,19,7,17,1,Higher Score than Dealer
108,2,5 10 4,19,7,17,1,Higher Score than Dealer
